,time,open,high,low,close,Volume,SMA_5,SMA_15,VMA_5,VMA_15,EMA_5,EMA_15,Diff,up,down,avg_20up,avg_20down,avg_60up,avg_60down,RS_20,RS_60,RSI_20,RSI_60,RSI_ratio,EMA_26,EMA_12,MACD_line,MACD_signal,MACD,STD_5,Upper Bollinger Band,Lower Bollinger Band,high_low,high_prevClose,low_prevClose,TrueRange,ATR_12,ATR_3,stop_loss
27,2022-12-06 12:00:00,18602.7,18617.35,18585.65,18589.95,19904658,18630.18,,33371935.4,,18618.506241426614,18626.57076557824,-13.25,0.0,13.25,,,,,,,,,,18621.7735494338,18627.35846009971,-5.584910665907955,-9.65891539524624,4.074004729338284,40.119113275349214,18710.418226550697,18549.941773449304,31.69999999999709,14.149999999997817,17.549999999999272,31.69999999999709,,34.08333333333212,18617.675
28,2022-12-06 13:00:00,18590.1,18641.1,18588.75,18608.0,22061332,18612.97,,29023622.8,,18615.004160951077,18624.249419880958,18.049999999999272,18.049999999999272,0.0,,,,,,,,,,18620.753286512776,18624.380235468987,-3.626948956210981,-8.452522107439188,4.825573151228207,18.505593748931734,18649.981187497866,18575.958812502136,52.349999999998545,51.14999999999782,1.2000000000007276,52.349999999998545,59.63333333333261,39.749999999998785,18618.283333333333
29,2022-12-06 14:00:00,18608.1,18627.4,18596.5,18606.35,28140611,18608.239999999998,,25324016.0,,18612.11944063405,18622.011992395837,-1.6500000000014552,0.0,1.6500000000014552,,,,,,,,,,18619.686376400718,18621.60635308914,-1.9199766884230485,-7.146013023635961,5.226036335212912,15.904142542135226,18640.048285084267,18576.43171491573,30.900000000001455,19.400000000001455,11.5,30.900000000001455,51.60416666666606,38.3166666666657,18618.125
30,2022-12-06 15:00:00,18607.7,18654.9,18605.85,18647.8,44483375,18611.06,,28467360.6,,18624.0129604227,18625.235493346358,41.45000000000073,41.45000000000073,0.0,,,,,,,,,,18621.7688670377,18625.63614492158,-3.867277883880888,-6.490265995684947,2.6229881118040588,21.730088587037432,18654.520177174076,18567.599822825927,49.05000000000291,48.55000000000291,0.5,49.05000000000291,52.15833333333285,44.10000000000097,18617.066666666666
48,2022-12-07 09:00:00,18647.55,18655.3,18608.45,18648.55,41018981,18620.129999999997,18635.789999999997,31121791.4,36471567.93333333,18632.191973615132,18628.149806678062,0.75,0.75,0.0,,,,,,,,,,18623.752654664535,18629.161353395182,-5.408698730647302,-6.273952542677418,0.8652538120301161,26.55740480544713,18673.244809610893,18567.015190389102,46.849999999998545,7.5,39.349999999998545,46.849999999998545,53.21249999999933,42.26666666666764,18616.649999999998
49,2022-12-07 10:00:00,18648.6,18668.3,18567.05,18580.65,30212105,18618.269999999997,18634.34,33183280.8,33975309.666666664,18615.011315743424,18622.212330843304,-67.89999999999782,0.0,67.89999999999782,,,,,,,,,,18620.559865430125,18621.69806825746,-1.1382028273364995,-5.246802599609235,4.108599772272735,29.375682970790383,18677.02136594158,18559.518634058415,101.25,19.75,81.5,101.25,55.499999999999396,65.71666666666715,18616.449999999997
50,2022-12-07 11:00:00,18580.45,18592.55,18564.5,18582.7,23790189,18613.21,18631.416666666668,33529052.2,33253252.466666665,18604.240877162287,18617.27328948789,2.0499999999992724,2.0499999999992724,0.0,,,,,,,,,,18617.75543095382,18615.69836544862,2.0570655051997164,-3.786028978647445,5.843094483847161,33.47931077546864,18680.168621550936,18546.251378449062,28.049999999999272,11.899999999997817,16.150000000001455,28.049999999999272,52.94999999999951,58.71666666666594,18617.175
51,2022-12-07 12:00:00,18582.45,18597.75,18569.4,18595.05,18264441,18610.95,18628.02,31553818.2,32798954.733333334,18601.177251441524,18614.495378301905,12.349999999998545,12.349999999998545,0.0,,,,,,,,,,18616.073547179465,18612.521693841143,3.551853338321962,-2.3184525152535636,5.870305853575525,34.426171004054694,18679.80234200811,18542.09765799189,28.349999999998545,15.049999999999272,13.299999999999272,28.349999999998545,50.441666666666,52.54999999999927,18617.43333333333
52,2022-12-07 13:00:00,18595.25,18614.8,18579.45,18589.7,21487122,18599.329999999998,18621.79666666667,26954567.6,31608023.066666666,18597.351500961016,18611.395956014167,-5.349999999998545,0.0,5.349999999998545,,,,,,,,,,18614.119951092096,18609.010664019428,5.109287072667939,-0.8329045976692631,5.942191670337202,28.103216008145306,18655.536432016288,18543.12356798371,35.349999999998545,19.75,15.599999999998545,35.349999999998545,49.21249999999933,30.58333333333212,18617.375
53,2022-12-07 14:00:00,18589.9,18618.95,18566.5,18612.25,26432414,18592.07,18619.696666666667,24037254.2,31225349.6,18602.317667307347,18611.502711512396,22.549999999999272,22.549999999999272,0.0,,,,,,,,,,18613.981436196387,18609.509023401053,4.472412795334094,0.22815888093140835,4.244253914402686,12.648547347444056,18617.367094694888,18566.77290530511,52.45000000000073,29.25,23.200000000000728,52.45000000000073,43.90416666666624,38.71666666666594,18617.175
54,2022-12-07 15:00:00,18616.0,18616.0,18528.4,18551.55,39233191,18586.25,18611.566666666666,25841471.4,30798895.866666667,18585.395111538233,18604.008622573347,-60.70000000000073,0.0,60.70000000000073,11.592499999999745,14.134999999999854,,,0.8201273434736375,,45.05878923331037,,,18609.356885367026,18600.59225057012,8.764634796905739,1.9354540641262745,6.829180732779465,22.26002583108462,18630.77005166217,18541.72994833783,87.59999999999854,3.75,83.84999999999854,87.59999999999854,48.25833333333291,58.46666666666594,18617.458333333332
72,2022-12-08 09:00:00,18578.3,18612.15,18536.95,18608.5,42385516,18591.41,18605.863333333335,29560536.8,30704403.933333334,18593.09674102549,18604.57004475168,56.95000000000073,56.95000000000073,0.0,13.232499999999892,14.134999999999854,,,0.9361513972408934,,48.35114643281269,,,18609.293412376875,18601.808827405486,7.484584971389268,3.0452802455788732,4.439304725810395,24.142115690232142,18639.694231380465,18543.125768619535,75.20000000000073,60.60000000000218,14.599999999998545,75.20000000000073,51.59166666666624,71.75,18618.175
73,2022-12-08 10:00:00,18607.85,18625.0,18566.55,18575.7,28514241,18587.54,18602.243333333336,31610496.8,29496110.333333332,18587.297827350325,18600.96128915772,-32.79999999999927,0.0,32.79999999999927,12.259999999999854,15.774999999999817,,,0.7771790808240885,,43.7310504726235,,,18606.80501146007,18597.79208472772,9.012926732350024,4.238809542933104,4.774117189416921,24.950135270185463,18637.440270540374,18537.639729459628,58.45000000000073,16.5,41.95000000000073,58.45000000000073,53.82083333333321,73.75,18618.558333333334
74,2022-12-08 11:00:00,18575.45,18588.85,18570.0,18576.15,23637411,18584.83,18598.406666666666,32040554.6,29154160.933333334,18583.581884900217,18597.859878013005,0.4500000000007276,0.4500000000007276,0.0,10.429999999999927,15.774999999999817,,,0.6611727416798763,,39.801564586911006,,,18604.534269870433,18594.462533231148,10.071736639285518,5.405394962203587,4.666341677081931,25.388890286906,18635.607780573813,18534.05221942619,18.849999999998545,13.149999999997817,5.700000000000728,18.849999999998545,51.02916666666655,50.833333333333336,18618.25
75,2022-12-08 12:00:00,18576.6,18595.85,18551.5,18571.25,25068733,18576.63,18596.276666666665,31767818.4,28975621.333333332,18579.471256600147,18594.53364326138,-4.900000000001455,0.0,4.900000000001455,10.429999999999927,14.054999999999927,,,0.7420846673781559,,42.59750867878289,,,18602.068768398552,18590.89137427251,11.17739412604351,6.559794794971572,4.617599331071937,20.461811992113123,18617.553623984226,18535.706376015776,44.349999999998545,19.69999999999709,24.650000000001455,44.349999999998545,52.149999999999636,40.54999999999927,18618.25
76,2022-12-08 13:00:00,18571.5,18596.05,18568.6,18584.55,21656149,18583.23,18595.916666666668,28252410.0,29092387.4,18581.164171066765,18593.285687853706,13.299999999999272,13.299999999999272,0.0,9.607499999999892,14.054999999999927,,,0.6835645677694729,,40.602218700475284,,,18600.771081850515,18589.915778230585,10.855303619930055,7.418896559963269,3.436407059966786,14.921988808485155,18613.07397761697,18553.38602238303,27.450000000000728,24.799999999999272,2.650000000001455,27.450000000000728,50.349999999999454,30.21666666666594,18618.1
77,2022-12-08 14:00:00,18586.05,18610.65,18577.95,18589.1,28080292,18579.35,18594.656666666666,25391365.2,29493651.4,18583.809447377844,18592.762476871994,4.549999999999272,4.549999999999272,0.0,8.80749999999989,14.054999999999927,,,0.6266453219494796,,38.523783488244774,,,18599.906557268994,18589.790273887418,10.116283381576068,7.958373924285829,2.1579094572902386,7.267650927262783,18593.885301854523,18564.814698145474,32.70000000000073,26.100000000002183,6.599999999998545,32.70000000000073,49.17083333333297,34.833333333333336,18618.9
78,2022-12-08 15:00:00,18590.1,18620.0,18587.0,18614.4,33413105,18587.090000000004,18595.193333333336,26371138.0,29845151.0,18594.006298251898,18595.467167262996,25.30000000000291,25.30000000000291,0.0,10.072500000000037,10.852499999999964,,,0.9281271596406423,,48.136200716846055,,,18600.980145619436,18593.576385597047,7.403760022389179,7.8474511439065,-0.44369112151732093,16.78479222393359,18620.659584447872,18553.520415552135,33.0,30.900000000001455,2.099999999998545,33.0,43.48333333333297,31.050000000000484,18619.525
96,2022-12-09 09:00:00,18664.65,18664.7,18607.4,18626.3,43423585,18597.12,18593.760000000002,30328372.8,29774498.333333332,18604.77086550127,18599.321271355122,11.899999999997817,11.899999999997817,0.0,10.482499999999892,10.852499999999964,,,0.9659064731628589,,49.13288024373079,,,18602.85569038837,18598.610787812886,4.244902575483138,7.1269414302218275,-2.8820388547386893,22.59232723737572,18642.304654474752,18551.935345525246,57.29999999999927,50.29999999999927,7.0,57.29999999999927,45.92083333333297,41.0,18620.975
