Open,High,Low,Adj Close,RSI,EMAF,EMAM,EMAS,Target,TargetClass,TargetNextClose,predicted,PredictionResult,AcctualResult,diff,ATR
15951.5498046875,16146.900390625,15914.349609375,16130.75,65.34511198268709,15813.420634963712,15253.555085874114,14828.472640337239,63.5498046875,1,16258.7998046875,15857.293,0,1,128.0498046875,
16195.25,16290.2001953125,16176.150390625,16258.7998046875,68.75752054337671,15855.83769874693,15273.46092189022,14847.417370990885,5.6494140625,1,16294.599609375,16105.771,0,1,35.7998046875,
16288.9501953125,16349.4501953125,16210.2998046875,16294.599609375,69.6526428081248,15897.624547378175,15293.681489959226,14866.585347658225,-66.2001953125,0,16238.2001953125,16242.056,0,0,56.3994140625,
16304.400390625,16336.75,16223.2998046875,16238.2001953125,66.43956808634016,15930.06032337192,15312.38483065929,14884.752431733117,-23.099609375,0,16258.25,16293.786,1,1,20.0498046875,
16281.349609375,16320.75,16179.0498046875,16258.25,67.01905692244455,15961.316483050783,15331.114834012571,14902.944452504866,5.2998046875,1,16280.099609375,16265.174,1,1,21.849609375,
16274.7998046875,16359.25,16202.25,16280.099609375,67.67084827718895,15991.676780795948,15349.906611742519,14921.184918158775,-45.0498046875,0,16282.25,16284.647,1,1,2.150390625,
16327.2998046875,16338.75,16162.5498046875,16282.25,67.73807975279546,16019.350420720144,15368.36885705455,14939.212270236143,60.75,1,16364.400390625,16329.423,1,1,82.150390625,
16303.650390625,16375.5,16286.900390625,16364.400390625,70.26881144280483,16052.212322615844,15388.092253758914,14958.088934082352,143.400390625,1,16529.099609375,16324.772,0,1,164.69921875,
16385.69921875,16543.599609375,16376.2998046875,16529.099609375,74.55611676973186,16097.63015945005,15410.686458820619,14978.897022496825,44.650390625,1,16563.05078125,16392.512,0,1,33.951171875,
16518.400390625,16589.400390625,16480.75,16563.05078125,75.34147130435068,16141.955932954806,15433.50555431427,14999.879191486934,69.349609375,1,16614.599609375,16532.35,0,1,51.548828125,
